Date,Open,High,Low,Close,Volume
2024-12-03,429.4,450.85,429.4,450.85,636600
2024-12-04,473.35,473.35,473.35,473.35,85800
2024-12-05,497,497,497,497,67800
2024-12-06,521.85,521.85,521.85,521.85,137400
2024-12-09,547.9,547.9,547.9,547.9,42600
2024-12-10,575.25,575.25,575.25,575.25,67200
2024-12-11,604,604,604,604,1442400
2024-12-12,634.2,634.2,634.2,634.2,43200
2024-12-13,665.9,665.9,665.9,665.9,30000
2024-12-16,699.15,699.15,699.15,699.15,12600
2024-12-17,769.05,769.05,769.05,769.05,54600
2024-12-18,776,845.95,776,845.95,1219200
2024-12-19,862.95,920,790,820.35,792600
2024-12-20,835,844.9,758,810.55,477000
2024-12-23,840,891.6,825.1,884.55,624600
2024-12-24,910,917,852.55,870.55,315600
2024-12-26,885,885,851,859.55,131400
2024-12-27,867,867,816.6,818.4,303000
2024-12-30,810.05,818.7,777.5,777.5,118200
2024-12-31,765,816.35,751,816.35,156600
2025-01-01,842,857.15,842,857.15,28200
2025-01-02,900,900,880,898.2,470400
2025-01-03,881,898.95,853.3,858,216600
2025-01-06,847.7,849.95,815.1,815.5,379800
2025-01-07,822.05,841.5,800,810.75,248400
2025-01-08,812,851.25,809.05,851.25,118800
2025-01-09,879,893.8,874,893.8,232200
2025-01-10,938.45,938.45,906.65,937.8,316800
2025-01-13,920,954,890.95,890.95,197400
2025-01-14,846.4,876,846.4,846.4,178800
2025-01-15,835,854.75,804.1,804.5,436800
2025-01-16,827.9,835,779.9,800.8,168000
2025-01-17,805,825,793.05,808.25,87600
2025-01-20,815,815,780,783.2,112800
2025-01-21,785,819.95,776.7,802.25,149400
2025-01-22,806,806,763.05,780.7,97800
2025-01-23,774.95,779.6,741.7,750.95,120600
2025-01-24,750.6,750.6,713.4,713.4,252000
2025-01-27,678,690,677.75,677.75,130200
2025-01-28,659.7,686,643.9,658.4,165600
2025-01-29,655,691.3,655,691.3,136800
2025-01-30,713.85,715,673,679.05,71400
2025-01-31,679.05,679.5,660,669.9,37800
2025-02-01,667.95,674,636.4,637.4,77400
2025-02-03,615.35,669.25,610,666.8,81000
2025-02-04,693,700.1,680,700.1,58800
2025-02-05,735,735.1,735,735.1,8400
2025-02-06,771.85,771.85,747,750.8,183600
2025-02-07,742,788,725.4,746.9,74400
2025-02-10,748,766.75,731,733.9,26400
2025-02-11,697.2,697.2,697.2,697.2,3000
2025-02-12,662.35,662.35,662.35,662.35,4200
2025-02-13,629.25,629.25,629.25,629.25,4200
2025-02-14,597.8,597.8,597.8,597.8,2400
2025-02-17,567.95,567.95,567.95,567.95,2400
2025-02-18,539.55,539.55,539.55,539.55,600
2025-02-19,512.6,512.6,512.6,512.6,4200
2025-02-20,487,487,487,487,3600
2025-02-21,462.65,462.65,462.65,462.65,5400
2025-02-24,439.55,439.55,439.55,439.55,3600
2025-02-25,417.6,417.6,417.6,417.6,4200
2025-02-27,396.75,396.75,396.75,396.75,3000
2025-02-28,376.95,376.95,376.95,376.95,1800
2025-03-03,358.1,358.1,358.1,358.1,10200
2025-03-04,340.2,340.2,340.2,340.2,14400
2025-03-05,323.2,323.2,323.2,323.2,12600
2025-03-06,307.05,307.05,307.05,307.05,9000
2025-03-07,291.7,291.7,291.7,291.7,22800
2025-03-10,277.15,277.15,277.15,277.15,10200
2025-03-11,263.3,263.3,263.3,263.3,6600
2025-03-12,250.15,276.45,250.15,276.45,558600
2025-03-13,290.25,290.25,280,290.25,705600
2025-03-17,275.75,304.75,275.75,304.75,508800
2025-03-18,319.95,319.95,319.95,319.95,43800
2025-03-19,335.9,335.9,335.9,335.9,8400
2025-03-20,342.6,342.6,342.6,342.6,63000
2025-03-21,349.45,349.45,349.45,349.45,31200
2025-03-24,344.95,344.95,342.5,342.5,119400
2025-03-25,335.65,335.65,335.65,335.65,7800
2025-03-26,328.95,328.95,328.95,328.95,4200
2025-03-27,322.4,322.4,322.4,322.4,9600
2025-03-28,315.95,315.95,315.95,315.95,12600
2025-04-01,316.05,322.25,316.05,322.25,129600
2025-04-02,316.1,316.1,315.8,315.8,85200
2025-04-03,309.5,309.5,309.5,309.5,19800
2025-04-04,303.35,303.35,303.35,303.35,8400
2025-04-07,297.3,297.3,297.3,297.3,2400
2025-04-08,291.35,291.4,291.35,291.35,10800
2025-04-09,285.55,285.55,285.55,285.55,5400
2025-04-11,280,291.25,280,291.25,101400
2025-04-15,297.05,297.05,297.05,297.05,10800
2025-04-16,302.95,302.95,302.95,302.95,11400
2025-04-17,309,309,309,309,13200
2025-04-21,315.15,315.15,315.15,315.15,10800
2025-04-22,321.4,321.45,321.4,321.45,19200
2025-04-23,327.85,327.85,327.85,327.85,12600
2025-04-24,334.4,334.4,334.4,334.4,8400
2025-04-25,341.05,341.05,340.85,341.05,250800
2025-04-28,358.1,358.1,329.75,358.1,91200
2025-04-29,376,376,376,376,2400
2025-04-30,394.8,394.8,394.8,394.8,18000
2025-05-02,414.5,414.5,414.5,414.5,12600
2025-05-05,435.2,435.2,400,435.2,199800
2025-05-06,456.95,456.95,436.5,455.7,159600
2025-05-07,447,452,432.95,432.95,87600
2025-05-08,424.3,425,424.3,424.3,10800
2025-05-09,415.85,415.85,415.85,415.85,4200
2025-05-12,422,424.15,422,424.15,45600
2025-05-13,432.6,432.6,432.6,432.6,1800
2025-05-14,441.25,441.25,441.25,441.25,2400
2025-05-15,450.05,450.05,450.05,450.05,43800
2025-05-16,450.05,450.05,445,445,28200
2025-05-19,453.9,453.9,446,452,45000
2025-05-20,452,452,443,443,16200
2025-05-21,434.25,450.5,434.25,450.5,21000
2025-05-22,459.5,459.5,450,450,27000
2025-05-23,452,452,441,441,31200
2025-05-26,432.2,432.2,432.2,432.2,10200
2025-05-27,424,424,423.55,424,18600
2025-05-28,432.45,432.45,432.4,432.4,22800
2025-05-29,441,441,441,441,33000
2025-05-30,449.8,449.8,449.8,449.8,86400
2025-06-02,458.75,458.75,458.75,458.75,31800
2025-06-03,467.9,467.9,467.9,467.9,24000
2025-06-04,477.25,477.25,477.25,477.25,4200
2025-06-05,486.75,486.75,486.75,486.75,2400
2025-06-06,496.45,496.45,496.45,496.45,3600
2025-06-09,506.35,506.35,506.35,506.35,6000
2025-06-10,516.45,516.45,516.45,516.45,1200
2025-06-11,526.75,526.75,526.75,526.75,2400
2025-06-12,537.25,537.25,537.25,537.25,8400
2025-06-13,547.95,547.95,547.95,547.95,4800
2025-06-16,558.9,558.9,558.9,558.9,1800
2025-06-17,570.05,570.05,570.05,570.05,1800
2025-06-18,581.45,581.45,581.45,581.45,3000
2025-06-19,592,593.05,592,593.05,6600
2025-06-20,604.9,604.9,604.9,604.9,7800
2025-06-23,616.95,616.95,616.95,616.95,1800
2025-06-24,629.25,629.25,629.25,629.25,7800
2025-06-25,641.8,641.8,641.8,641.8,16200
2025-06-26,654.6,654.6,654.6,654.6,10800
2025-06-27,667.65,667.65,667.65,667.65,7800
2025-06-30,681,681,681,681,18600
2025-07-01,667.4,667.4,667.4,667.4,54600
2025-07-02,654.05,654.05,654.05,654.05,29400
2025-07-03,641,641,641,641,10800
2025-07-04,628.2,628.2,628.2,628.2,8400
2025-07-07,615.65,615.65,615.65,615.65,40800
2025-07-08,627.25,627.95,626.9,627.95,164400
2025-07-09,640.4,640.4,636,636,49200
2025-07-10,635,635,623.3,623.3,27600
2025-07-11,610.85,612,610.85,610.85,14400
2025-07-14,610.8,610.8,598.65,598.65,47400
2025-07-15,598.65,598.65,586.7,587.6,38400
2025-07-17,611.3,611.3,611.3,611.3,9000
2025-07-18,623.5,623.5,623.5,623.5,34200
2025-07-21,623.5,654.65,623.5,654.65,49200
2025-07-22,667,677,640.5,665,45000
2025-07-23,665,665,631.75,631.75,29400
2025-07-24,659,659,615,638.35,15600
2025-07-25,629,638,625,626.8,30000
2025-07-28,658.1,658.1,626,658.1,33000
2025-07-29,685,691,660,669.4,64800
2025-07-30,660,660,643,650,26400
2025-07-31,636,678.95,635,668.25,18600
2025-08-01,670,670,650,660.55,24000
2025-08-04,668,669,638.85,642.6,25800
2025-08-05,630,639,618,620.6,30000
2025-08-06,651.6,651.6,640.1,651.6,44400
2025-08-07,655.5,683,655.5,670.35,49200
2025-08-08,690,720,680,694.5,91200
2025-08-11,710,763.95,700.05,763.95,85200
2025-08-12,797,840.3,797,822.2,216000
2025-08-13,802,807,781.1,781.1,84600
2025-08-14,768,810,754.05,790.15,61200
2025-08-18,767.25,805,767.25,785.75,16200
2025-08-19,772,809.75,771.75,792.95,33600
2025-08-20,807,807,753.3,753.3,64200
2025-08-21,741,754,718.5,732.55,47400
2025-08-22,748,769.15,740,747.95,43800
2025-08-25,740.3,785.3,740.3,785.3,33000
2025-08-26,800.95,824.55,788,819.5,87600
2025-08-28,805,847.8,805,829.8,57000
2025-08-29,832,871.25,831.95,871.25,88800
2025-09-01,888,888,827.7,827.7,33000
2025-09-02,834.95,834.95,788.05,791.8,63000
2025-09-03,795,810,783,796.2,25800
2025-09-04,797,810,768.1,805.85,49800
2025-09-05,826.95,826.95,785,791,16200
2025-09-08,785,789.9,771.1,772.4,27000
2025-09-09,772,773.5,735.75,766,18000
2025-09-10,775,780.5,752,755.25,36600
2025-09-11,755.25,755.25,737.4,741.2,37200
2025-09-12,753,753,738.6,739.2,42600
2025-09-15,745,754.9,733,747.75,44400
2025-09-16,750,784.3,750,782.65,14400
2025-09-17,813.95,814,765,771.35,15000
2025-09-18,760,780,750,780,15000
2025-09-19,780.05,784.6,755.1,773,14400
2025-09-22,772.95,772.95,742,764,18600
2025-09-23,763.8,802.2,759.7,800,43200
2025-09-24,800,802,790,792.1,21600
2025-09-25,792.1,792.1,754.8,755.4,10800
2025-09-26,755.5,756,750,750,9600
2025-09-29,733,733.5,712.5,713.8,19200
2025-09-30,714,746,678.15,685,37200
2025-10-01,668,679,650.75,666,48600
2025-10-03,670,670,632.7,650.6,67200
2025-10-06,618.25,625,618.1,618.1,58200
2025-10-07,595.05,601,587.2,587.2,33000
2025-10-08,558,616.55,557.85,616.55,61800
2025-10-09,625,647.35,625,647.35,29400
2025-10-10,659,672,621.2,634.1,47400
2025-10-13,630,630,602.4,602.4,34200
2025-10-14,603.5,627,573,618.9,27600
2025-10-15,612,627,606.75,607.6,22800
2025-10-16,596,637.95,596,637.95,40200
2025-10-17,628.95,668.9,617,637.6,39600
2025-10-20,626.3,637.6,626.3,632.55,4200
2025-10-21,640,640,630,631.35,6600
2025-10-23,632.05,662.9,632.05,662.9,42600
2025-10-24,683,696,676,694.8,58800
2025-10-27,694.8,694.9,680.5,689.5,22200
2025-10-28,693,694.6,671.3,675,13800
2025-10-29,660,674.9,654,655.5,4800
2025-10-30,646,659,646,655.15,10200
2025-10-31,669,671.95,657,669.1,18000
2025-11-03,670,690,660.1,676.55,25650
2025-11-04,685,693.7,675,691.05,15900
2025-11-06,695,695,657,668.65,18300
2025-11-07,655,677.5,645,663.05,13200
2025-11-10,665,696.2,663.05,689.5,25350
2025-11-11,670.1,705,670,674.65,21300
2025-11-12,675,695,673,681.6,13200
2025-11-13,682,685,647.55,657.15,55500
2025-11-14,653.9,690,650.65,680.35,55350
2025-11-17,685,714.35,655.3,677.25,86700
2025-11-18,663.75,685,656,679.95,42000
2025-11-19,670,678,655.95,657,52050
2025-11-20,663,669.9,650,653.5,37950
2025-11-21,679,679.65,641,645.6,60000
2025-11-24,652,659.7,613.35,613.35,43800
2025-11-25,613.35,619.5,585,588.35,34050
2025-11-26,591.3,617.75,591.3,617.75,29700
2025-11-27,632,638.95,619.6,630.3,30600
2025-11-28,622.3,646,622.3,643.05,26100
2025-12-01,640.4,648.05,610.9,611.95,49050
2025-12-02,600,601,581.35,581.35,44250
2025-12-03,578,580.9,552.3,552.3,54300
2025-12-04,531.05,547.95,524.7,524.7,61200
2025-12-05,490,518.7,460,488.9,130800
2025-12-08,480,494.9,462.15,472,69450
2025-12-09,471.2,534,469.95,489.15,106650
2025-12-10,500,524,497.25,513.65,96300
2025-12-11,529.45,530,516.05,527.35,28950
2025-12-12,471.5,514.95,443,468.85,782250
2025-12-15,474,486,470,475.95,121500
2025-12-16,481,485,464.95,469.25,57450
2025-12-17,468,476.8,455.5,464.8,40200
2025-12-18,468.4,468.4,398,432.65,549300
2025-12-19,432.65,472.4,431,457.9,282750
2025-12-22,467,495,456.05,491.5,144750
2025-12-23,482,486.8,466,474.9,119100
2025-12-24,483.5,521.85,475.05,495.45,185250
2025-12-26,505,505.95,490,501.15,53700
2025-12-29,501.15,521,501.15,511.25,43950
2025-12-30,505.4,510,490,498.5,46500
2025-12-31,492.7,503.8,480.05,488.45,45900
2026-01-01,495,495,465,470.1,84450
2026-01-02,470,482,460.1,476.55,68100
2026-01-05,455,477.35,455,470.7,48000
2026-01-06,466.2,476.9,458,470.7,51150
2026-01-07,483.8,484.8,470.1,480.9,60900
2026-01-08,480,480.8,462.5,464.85,42900
2026-01-09,460.55,471.5,451.3,452.9,27450
2026-01-12,452.9,458.9,420.15,450.75,46500
2026-01-13,453.7,453.7,440,442.6,20850
2026-01-14,441,455,441,447.3,39750
2026-01-16,450,474.95,440,443.8,37050
2026-01-19,451.9,451.9,430,438.4,21300
2026-01-20,438,439.25,412,416.95,44850
2026-01-21,416.5,427,383.25,401.5,65550
2026-01-22,419.9,427.9,409.9,412.5,51600
2026-01-23,415,424,401,410.1,37500
2026-01-27,407.5,422,380,386.45,76050
2026-01-28,394,405.95,380.2,397,47550
2026-01-29,403.65,403.65,378,381.9,48450
2026-01-30,381.5,393,381,386.45,38250
2026-02-01,393.85,439,375,384.05,141000
2026-02-02,384,391.75,356,363.65,73050
2026-02-03,401,401,382,396.85,103800
2026-02-04,398.8,398.8,380,384.55,34500
2026-02-05,380,383.95,366,375.65,53100
2026-02-06,374.35,374.35,343,351.2,103200
