Date,Open,High,Low,Close,Volume
2025-04-02,140,147,140,147,3456000
2025-04-03,151,154.35,148,154.35,728400
2025-04-04,154.5,156,147.1,147.5,448800
2025-04-07,140.15,140.15,140.15,140.15,30000
2025-04-08,133.15,133.15,133.15,133.15,33600
2025-04-09,126.5,139.75,126.5,133.35,318000
2025-04-11,131.7,140,131.7,140,96000
2025-04-15,144.5,147,143.45,146.95,165600
2025-04-16,149.5,150,143,144.95,57600
2025-04-17,146,152.15,145,150.35,171600
2025-04-21,156,157,150,155.1,246000
2025-04-22,157,157,150,154.1,104400
2025-04-23,151.55,170,147.65,164.3,528000
2025-04-24,170,173,167.25,169.05,174000
2025-04-25,170.5,172,162,163.25,130800
2025-04-28,165,167.2,163,164.75,130800
2025-04-29,160,163.75,156.2,162.15,127200
2025-04-30,163.9,163.9,155,155.45,57600
2025-05-02,156,158,152,153.05,37200
2025-05-05,153.05,157,153.05,156.75,36000
2025-05-06,155.8,155.8,147.5,147.65,48000
2025-05-07,143,152.45,141.6,148.4,39600
2025-05-08,149,161,149,151.6,90000
2025-05-09,150,153,149.5,150.45,34800
2025-05-12,157,160,152.15,153,58800
2025-05-13,154.5,155,152,153.5,31200
2025-05-14,155,155.5,147.3,148.55,90000
2025-05-15,148.15,155.5,148.15,153.05,33600
2025-05-16,155.25,155.5,150.7,155.05,34800
2025-05-19,157,160.5,156.5,160.1,48000
2025-05-20,161,162.75,156.75,157.65,57600
2025-05-21,157.65,160,155,157.95,51600
2025-05-22,158.5,158.5,156.1,156.9,15600
2025-05-23,157.5,159.5,157.5,159,16800
2025-05-26,160,162,155,157.35,51600
2025-05-27,158,160,157,160,48000
2025-05-28,160,162.95,157,158.85,75600
2025-05-29,163,163,157.05,161.6,44400
2025-05-30,160,160,158.05,158.5,14400
2025-06-02,160.95,160.95,150,151.8,75600
2025-06-03,151,154.5,148.1,153.05,114000
2025-06-04,150.15,151,149.5,150.75,19200
2025-06-05,152,152,148,148.85,33600
2025-06-06,150,154.4,148,153.1,82800
2025-06-09,155,155.5,154,154.5,26400
2025-06-10,154,158.85,152,156.7,43200
2025-06-11,157,157.95,149.45,152.2,64800
2025-06-12,154,154,150,150,15600
2025-06-13,148.5,152.5,146.65,150.55,38400
2025-06-16,151.25,154,150,153,27600
2025-06-17,152.5,153,150,151,25200
2025-06-18,152,152,148.1,149.1,20400
2025-06-19,149,150.8,148.75,149.75,15600
2025-06-23,148.75,156,148,155.35,80400
2025-06-24,156.25,158,153,153,43200
2025-06-25,153,155,150.1,153.7,27600
2025-06-26,154,155,153,153,36000
2025-06-27,152,155.4,151.2,151.7,40800
2025-06-30,153,153,151,151,12000
2025-07-01,149.5,150,148,148.5,19200
2025-07-02,149,152,148,149,63600
2025-07-03,149,150.05,147.55,149.85,37200
2025-07-04,149,149.95,148,148,16800
