Date,Open,High,Low,Close,Volume
2025-08-05,137.52,146.68,132.98,134.11,6460461
2025-08-06,133.2,135.57,122.11,123.85,1985135
2025-08-07,122.88,148.62,116.05,148.62,9905318
2025-08-08,149,173.8,142.56,161.98,51146767
2025-08-11,159.4,163.69,146.28,149.65,8783670
2025-08-12,149,155.99,147.93,149.24,4886910
2025-08-13,151,152,146.19,149.76,4171708
2025-08-14,147.1,150.92,128.8,131.85,4331425
2025-08-18,136.49,141.95,130.5,139.15,3274826
2025-08-19,139.94,141.75,137,139.65,1312125
2025-08-20,139.5,147,137.31,144.87,2721511
2025-08-21,145.45,146.77,142.3,143.92,1030767
2025-08-22,143,144,139.65,141.13,393368
2025-08-25,141.15,141.84,137.5,138.34,355971
2025-08-26,139,139,132,133.17,298061
2025-08-28,133,134.25,129.7,132.28,393080
2025-08-29,132.99,133.74,127.3,129.72,383545
2025-09-01,128.72,135,128.72,132.04,587137
2025-09-02,134.9,145.76,134,139.71,2355752
2025-09-03,141.88,161,141.1,158.21,9216069
2025-09-04,159.38,167.7,154.7,165.02,4173472
2025-09-05,162.5,168.5,158.05,166.56,3691389
2025-09-08,165.96,170.9,163.58,167.55,1713818
2025-09-09,165.11,168,156.55,158.47,1243463
2025-09-10,159,172.7,155.07,166.58,5182475
2025-09-11,165.01,173.7,163.56,166.95,1816287
2025-09-12,167,176,160.55,162.95,2370025
2025-09-15,163.75,165.7,161.5,162.86,910999
2025-09-16,163.45,167.9,161.91,164.29,666622
2025-09-17,165,169,162.26,163.3,1078041
2025-09-18,163.99,180.9,163.33,175.87,7373622
2025-09-19,176,177.21,168,168.9,1243744
2025-09-22,169.79,169.79,161.36,162.13,917781
2025-09-23,163.69,164.33,158,158.52,838265
2025-09-24,158.85,162.34,156.2,161.03,709658
2025-09-25,161.83,164.2,156,157.17,669939
2025-09-26,156,157,148.07,149.45,959405
2025-09-29,148.66,151.56,147.67,149.89,406949
2025-09-30,152,152.9,147.98,148.7,313069
2025-10-01,149.97,150.9,147.25,149.28,382043
2025-10-03,149.28,149.87,145.26,146.36,395767
2025-10-06,147,147.8,140.15,142.09,411494
2025-10-07,143.4,143.4,139.41,140.98,319193
2025-10-08,142.1,152,140.11,150.94,1351107
2025-10-09,150.92,153.05,147.66,151.42,438955
2025-10-10,151.5,152.45,147.3,149.72,232366
2025-10-13,148.1,148.79,145,145.57,196082
2025-10-14,145.83,147.95,140.1,141.12,321448
2025-10-15,143,149.5,141.61,148.15,356552
2025-10-16,148.8,149.27,145.54,147.14,167862
2025-10-17,148.6,148.6,143.2,144.61,230521
2025-10-20,146,154.87,142.91,149.59,371155
2025-10-21,149,152.95,149,150.86,71275
2025-10-23,154.4,155.2,151.7,153.9,364562
2025-10-24,155.2,155.2,149.9,150.97,210723
2025-10-27,152.5,152.57,148,148.78,339838
2025-10-28,148.8,158.45,148.44,157.55,613693
2025-10-29,159,159.59,155.15,156.27,258653
2025-10-30,155,155.01,150.12,152.19,231908
2025-10-31,152.2,154.99,150.51,151.8,335960
2025-11-03,151.5,151.5,146.82,147.38,149440
2025-11-04,148.8,148.89,144.1,145.62,130765
2025-11-06,146.5,147.85,142.2,143.56,192302
2025-11-07,143.62,145.98,142.5,143.15,118876
2025-11-10,145.3,152.2,144.36,147.34,131516
2025-11-11,148.52,148.52,145.01,145.64,81018
2025-11-12,145,152.25,144.21,151.6,277483
2025-11-13,151.9,154.44,147.1,147.68,180981
2025-11-14,148.86,152,135.41,137.12,893529
2025-11-17,139,140.99,128.5,129.61,913576
2025-11-18,131.65,139.8,129.97,131.07,1473843
2025-11-19,131.6,148.9,131,143.78,9706600
2025-11-20,143.78,144.3,137.8,138.63,799172
2025-11-21,138.9,140.78,137,137.2,379885
2025-11-24,137,139.75,135,136.34,241690
2025-11-25,137,138.18,134.01,134.7,227619
2025-11-26,135,136.6,134.25,135.38,132650
2025-11-27,136.25,139.28,134.33,135.88,259041
2025-11-28,136.5,141.25,135.5,138.87,377471
2025-12-01,140,142.89,137,137.22,234328
2025-12-02,137,138.08,135.01,136.32,140567
2025-12-03,136.9,136.9,131.68,132.57,92703
2025-12-04,132.7,138.15,132.59,135.07,151854
2025-12-05,136,136.15,133.1,134.27,64678
2025-12-08,134.67,134.8,126.02,128.48,505998
2025-12-09,128.05,132,124.24,130.75,224908
2025-12-10,131.5,135.25,130.99,131.6,139002
2025-12-11,132.65,132.65,130.1,131.1,61404
2025-12-12,131.75,132.84,129.62,131.66,70171
2025-12-15,132.5,133.1,129.8,131.73,80440
2025-12-16,130.51,131.89,128.7,129.17,58966
2025-12-17,129.25,130.78,125.01,125.74,158102
2025-12-18,125.74,127.48,124.32,125.17,103583
2025-12-19,125.25,128.14,124.71,127.28,143601
2025-12-22,127.9,132.87,127.06,128.55,237717
2025-12-23,129.1,129.11,127.1,127.53,118763
2025-12-24,127.98,129.38,124.35,125.51,148819
2025-12-26,126,127.5,124.71,125.37,153782
2025-12-29,125.1,126.66,120.92,121.97,212265
2025-12-30,123,124.11,121.35,122.36,127121
2025-12-31,123.6,127.85,123.22,124.92,183765
2026-01-01,125.92,126.4,120.85,122.72,69060
2026-01-02,123.17,129.19,123.17,127.35,169669
2026-01-05,127.59,129.14,125.08,127.05,164904
2026-01-06,127.05,128.97,125.5,126.72,94761
2026-01-07,126.72,129,124,127.09,108166
2026-01-08,125.8,129.35,122.1,123.68,146984
2026-01-09,124,124.18,114.21,116.85,330257
2026-01-12,118.8,118.8,110.22,111.38,365950
2026-01-13,112.95,114.24,107.01,107.93,418281
2026-01-14,108.49,110.59,104.98,108.45,266672
2026-01-16,110,119,107.76,108.72,484510
2026-01-19,108.99,109.35,101.1,102.63,212221
2026-01-20,102.37,103.74,99.2,99.92,217416
2026-01-21,100.38,104.09,96,97.37,230651
2026-01-22,99,101.25,95.69,97.86,148227
2026-01-23,99.33,99.59,92.61,93.38,148050
2026-01-27,93.38,94.1,85.87,88.34,475281
2026-01-28,88.05,98.75,88.05,93.97,640191
2026-01-29,94,96.73,88.6,91.04,247630
2026-01-30,91.05,93.78,89.65,92.02,98381
2026-02-01,92.4,94.01,89.05,91.36,99052
2026-02-02,92,93.19,87.3,92.09,132052
2026-02-03,94,97.19,94,95.33,128576
2026-02-04,95.3,101.7,94.45,100.28,203977
2026-02-05,101,102.89,95.11,95.66,130270
2026-02-06,96,96,90,90.97,220855
2026-02-09,92.8,104.5,92.12,100.12,3793816
2026-02-10,104.5,107.99,102.5,104.93,1016155
2026-02-11,109,112.58,106.08,108.44,894648
