Date,Open,High,Low,Close,Volume
2024-02-16,56,58.8,53.5,54.25,886000
2024-02-19,52,54.2,51.55,51.55,98000
2024-02-20,49,49,49,49,26000
2024-02-21,46.55,46.55,46.55,46.55,46000
2024-02-22,44.25,44.25,44.25,44.25,28000
2024-02-23,42.05,42.05,42.05,42.05,54000
2024-02-26,40,44.15,40,44.15,224000
2024-02-27,46.35,46.35,45.05,46.35,54000
2024-02-28,48.65,48.65,44.05,44.05,118000
2024-02-29,41.95,44.5,41.85,44.5,70000
2024-03-01,45.5,46.6,42.6,43,82000
2024-03-02,43,43.95,42.65,43.9,12000
2024-03-04,44.25,44.95,40.55,41.3,66000
2024-03-05,41.2,41.55,40.05,40.5,40000
2024-03-06,39.5,39.55,37.1,37.95,66000
2024-03-07,39.25,39.25,36.05,37.45,70000
2024-03-11,36.2,37.2,35.3,35.85,84000
2024-03-12,36.25,36.3,31.5,31.85,74000
2024-03-13,31.55,31.55,29.25,30,62000
2024-03-14,32,35.7,32,35.6,52000
2024-03-15,36.35,36.45,34,34.6,52000
2024-03-18,35.5,35.5,33.3,35.3,10000
2024-03-19,34.05,35.3,34.05,35.3,12000
2024-03-20,33.7,33.7,32.8,32.9,30000
2024-03-21,32.9,35.5,32.9,35.5,20000
2024-03-22,34.05,35,34.05,34.35,12000
2024-03-26,34.95,34.95,33.3,33.3,12000
2024-03-27,33.3,33.3,31,31.1,60000
2024-03-28,31.15,31.15,29.35,30.5,86000
2024-04-01,30.9,34.6,30.9,34,34000
2024-04-02,33,35.2,33,34.8,16000
2024-04-03,35.85,36.9,34.5,34.5,22000
2024-04-04,36.5,38.45,36.4,37.55,62000
2024-04-05,39.55,39.55,37.65,37.7,18000
2024-04-08,38,40.85,38,38.5,26000
2024-04-09,40.15,42,39.7,40.75,60000
2024-04-10,40.75,41.25,40.75,40.95,6000
2024-04-12,39.9,39.9,37.1,37.25,32000
2024-04-15,36.2,38.2,36.1,38.2,12000
2024-04-18,37.75,37.75,36.2,36.55,10000
2024-04-19,34.75,36,34.75,36,12000
2024-04-22,36.15,36.3,36.15,36.25,10000
2024-04-23,39.15,43.4,38.5,40.95,82000
2024-04-24,40.5,40.5,39.55,39.55,18000
2024-04-25,40.35,40.5,39.45,40.4,20000
2024-04-26,40.4,40.95,38.55,40.65,16000
2024-04-29,41.5,41.5,38.5,41,14000
2024-05-02,40.5,40.5,39,39,8000
2024-05-03,41,41,40.8,40.8,4000
2024-05-06,39.05,39.9,39,39.9,8000
2024-05-08,38.8,38.8,37.05,37.7,22000
2024-05-09,38,38.6,37,37,16000
2024-05-10,36.6,37,36.6,37,8000
2024-05-13,36.15,36.15,36.15,36.15,2000
2024-05-14,37.05,37.05,36.05,36.05,8000
2024-05-15,35.95,36.55,34.55,36.55,24000
2024-05-16,37.5,37.5,34.3,34.85,24000
2024-05-17,34.85,37,34.85,35.75,14000
2024-05-18,35.75,35.75,35.7,35.7,4000
2024-05-21,35.7,38.65,34.7,34.9,18000
2024-05-22,35.1,36.1,35.1,36.1,14000
2024-05-24,34.25,35,34.25,35,8000
2024-05-27,36,36,35.9,36,10000
2024-05-28,36.15,36.3,36.1,36.3,10000
2024-05-29,36.2,37,35.5,35.9,14000
2024-05-30,35.9,35.9,35.8,35.85,10000
2024-06-03,35,35,34.55,34.75,12000
2024-06-04,34.75,35.5,32.1,35.5,16000
2024-06-05,35.5,36.5,33,35.6,18000
2024-06-06,34,35.25,34,35.25,18000
2024-06-07,35.3,35.5,34.1,34.3,20000
2024-06-10,34,34,33.55,33.55,10000
2024-06-11,33.7,34.25,33.7,34.25,12000
2024-06-12,35,36,33.65,34.3,32000
2024-06-13,35,36.5,34.8,36.15,28000
2024-06-14,35.15,36,35.15,35.55,4000
2024-06-18,35.3,35.3,34.15,34.5,18000
2024-06-19,36.5,37.4,36.4,36.4,26000
2024-06-20,36.5,36.5,35.15,35.25,10000
2024-06-21,34.7,34.7,34,34.7,12000
2024-06-24,35,35,34.35,34.8,16000
2024-06-25,36.5,38,35.8,35.8,28000
2024-06-26,37.4,37.5,36.05,36.2,24000
2024-06-27,35.5,35.5,34.2,34.55,24000
2024-06-28,35.25,35.25,35.25,35.25,2000
2024-07-01,35.25,35.3,34.25,34.3,14000
2024-07-02,34.3,34.3,34.3,34.3,8000
