Date,Open,High,Low,Close,Volume
2018-05-30,84,84,79.05,80.45,39598
2023-08-31,250,262.5,237.5,262.35,502400
2023-09-01,269,275.45,250.25,275.45,128000
2023-09-04,270,271,261.7,261.7,64000
2023-09-05,249.3,255,248.65,248.95,35200
2023-09-06,257.2,259.95,244.1,257.5,17600
2023-09-07,257,258.95,244.65,244.65,33600
2023-09-08,244,256.85,240,252,44800
2023-09-11,255,255,247,247,17600
2023-09-12,247.5,247.5,234.65,234.65,24000
2023-09-13,222.95,222.95,222.95,222.95,1600
2023-09-14,223.05,247,204,246,40000
2023-09-15,246,260,236.9,236.95,22400
2023-09-18,236.95,236.95,230.1,233,4800
2023-09-20,231.1,231.1,218,224,17600
2023-09-21,218,218,206,206,12800
2023-09-22,208,218.95,208,218.7,11200
2023-09-25,222,222,222,222,1600
2023-09-26,201,215,195,215,16000
2023-09-27,210,210,210,210,1600
2023-09-28,212.5,218.4,212.5,217.9,14400
2023-09-29,200.5,239,200.5,223.45,11200
2023-10-04,224.3,224.3,216,216,4800
2023-10-09,201.5,204.8,180,191.75,51200
2023-10-10,190,190,180.5,186.25,32000
2023-10-11,190,210,190,209,20800
2023-10-12,201.05,208,193.5,199.35,30400
2023-10-13,199,199,190.05,196,11200
2023-10-16,198.15,198.15,192.05,197.95,6400
2023-10-17,197.95,207,197.95,203,24000
2023-10-18,215,215,200,200,4800
2023-10-19,196.8,196.8,194,195,6400
2023-10-20,203.5,203.5,203.5,203.5,1600
2023-10-23,210,210,190.15,198,11200
2023-10-25,196,196,196,196,1600
2023-10-26,199,199,198,198,3200
2023-10-30,195,204.5,195,204,6400
2023-10-31,203.5,203.5,196,199,2400
2023-11-01,199,199,199,199,800
2023-11-02,199.9,200,191,191,4000
2023-11-03,191,191,191,191,1600
2023-11-06,199,199,192,192,4000
2023-11-07,190,199.95,183.1,189,17600
2023-11-08,197,197,192,192,2400
2023-11-09,170.5,172,155,167.95,53600
2023-11-10,161,169,161,169,4000
2023-11-12,173,173,173,173,800
2023-11-13,173,173,172,172,1600
2023-11-15,174,174,172,172,1600
2023-11-16,172,172,169,169.5,3200
2023-11-17,164.5,203.4,150,203.4,60800
2023-11-20,218,225.8,206,210.25,44000
2023-11-21,224.95,224.95,216,216,17600
2023-11-22,220.35,228.5,215,216.15,8800
2023-11-23,216.15,216.15,216.15,216.15,800
2023-11-24,213.5,213.5,213.35,213.35,2400
2023-11-28,205,205,180.5,182.35,3200
2023-11-29,190,190,190,190,800
2023-11-30,191.5,198,191.5,198,4000
2023-12-01,210,225,210,215,28000
2023-12-04,215,218.95,210,210,10400
2023-12-05,210,214.25,203.5,211.35,10400
2023-12-06,211.35,211.35,211.35,211.35,800
2023-12-07,211,211,201,201,1600
2023-12-08,201,201,201,201,800
2023-12-11,210,215,210,214.75,5600
2023-12-12,201,201,199,199.45,6400
2023-12-13,199.45,199.45,190.05,194.2,3200
2023-12-14,194.2,194.2,194.2,194.2,800
2023-12-15,209,210,208.95,208.95,4800
2023-12-18,217,217,206.5,212.9,6400
2023-12-19,208,215,208,210.5,10400
2023-12-20,212.75,212.75,198,200,4000
2023-12-22,200,203,200,201,6400
2023-12-26,198,201,195,195,5600
2023-12-28,197,197,197,197,800
2023-12-29,201,203,200,203,3200
2024-01-01,200,207,200,204,5600
2024-01-02,196.5,214,196.5,207.3,8800
2024-01-03,207.4,220,207.4,213,9600
2024-01-04,220,254.75,220,241.45,44800
2024-01-05,246,270,246,267.9,43200
2024-01-08,267.9,271,267.9,269.5,11200
2024-01-09,275,275,255,255,6400
2024-01-10,255,255,255,255,800
2024-01-11,250,255,242.25,242.25,5600
2024-01-12,235.5,235.5,230.15,230.15,9600
2024-01-15,218.65,225,218.65,225,6400
2024-01-16,235.15,236.25,234,236.25,7200
2024-01-17,225,248.05,225,248.05,8800
2024-01-18,248.05,250,236,236,4800
2024-01-19,247.8,247.8,231,231,1600
2024-01-20,235,242.55,235,242.55,3200
2024-01-23,254.65,254.65,254,254.65,24000
2024-01-24,267.35,267.35,260,267.35,55200
2024-01-25,280,280.7,280,280.7,3200
2024-01-29,294.7,294.7,294.7,294.7,2400
2024-01-30,309.4,309.4,309.4,309.4,4800
2024-01-31,324.85,324.85,293.95,307.75,55200
2024-02-01,307.75,313,292.4,292.4,12800
2024-02-02,296,296,277.8,278,12800
2024-02-05,291.9,291.9,288,291.9,11200
2024-02-06,306.45,306.45,306.45,306.45,7200
2024-02-07,321.7,321.75,321,321.75,13600
2024-02-08,337.8,337.8,306,306,14400
2024-02-09,290.75,291.5,290.7,290.7,8000
2024-02-12,278.05,278.05,276.2,276.2,4000
2024-02-13,262.4,262.4,262.4,262.4,7200
2024-02-14,265,272.3,260,265,6400
2024-02-15,266.05,278.25,266.05,278.25,4800
2024-02-16,292.15,292.15,292,292.15,6400
2024-02-19,306.75,306.75,305,306,8800
2024-02-20,321.3,321.3,290.7,319.95,12000
2024-02-21,305,308,303.95,308,5600
2024-02-22,308,308,308,308,800
2024-02-23,294.1,303,292.6,295.05,4800
2024-02-26,309.5,309.8,301.5,309.65,12000
2024-02-27,325.1,325.1,315,325.1,8800
2024-02-28,310,338.7,310,318,7200
2024-02-29,331,331,302.1,310,6400
2024-03-01,302,315,302,315,2400
2024-03-02,303,303,302.1,302.1,1600
2024-03-04,302.1,314.7,300,312.65,7200
2024-03-05,300,300,297.05,299,4800
2024-03-06,284.3,298,284.05,284.05,8800
2024-03-07,289.8,292,289.8,290,5600
2024-03-11,290,290,290,290,1600
2024-03-12,276,276,275.5,275.5,2400
2024-03-13,262,262,261.75,261.75,1600
2024-03-14,250,255,248.7,248.7,8800
2024-03-18,240,240,236.3,236.3,4800
2024-03-19,248.1,248.1,248,248,4800
2024-03-20,248,248,248,248,800
2024-03-22,248,248,235.6,235.6,12000
2024-03-26,225,225,223.85,223.85,4800
2024-03-27,220,220,212.65,212.65,8800
2024-03-28,212.7,212.7,212.7,212.7,4000
2024-04-01,223.3,223.3,223.3,223.3,2400
2024-04-02,234.45,234.45,234.45,234.45,3200
2024-04-04,233.45,233.45,222.75,226,8800
2024-04-05,223,237.3,223,237.3,4800
2024-04-08,226.1,227.3,226.1,227.3,1600
2024-04-09,237,238,236.95,238,2400
2024-04-10,246.8,246.8,230.05,238.5,4800
2024-04-12,244,247,244,246,3200
2024-04-15,234.15,235.1,234,234,4000
2024-04-16,234,245.7,234,245.7,9600
2024-04-18,257.95,257.95,257.95,257.95,4800
2024-04-19,270.8,270.8,270.8,270.8,1600
2024-04-22,284.3,284.3,284.3,284.3,800
2024-04-23,298.5,298.5,298.5,298.5,1600
2024-04-24,313.4,313.4,313.4,313.4,4800
2024-04-25,328,329.05,316,329.05,24800
2024-04-26,344.9,345.5,343,345.5,11200
2024-04-29,362.75,362.75,362.75,362.75,5600
2024-04-30,380.85,380.85,380.85,380.85,5200
2024-05-02,399.85,399.85,399.85,399.85,2800
2024-05-03,419.8,419.8,410,419.8,29600
2024-05-06,440.5,440.75,425,436,50000
2024-05-07,454,457.8,414.2,455.15,48000
2024-05-08,474,474,432.4,432.4,18000
2024-05-09,441.05,441.5,410.8,410.8,11200
2024-05-10,390.3,390.3,390.3,390.3,4800
2024-05-13,390.3,390.3,370.8,370.8,4800
2024-05-14,354.5,382,354.5,373.65,16800
2024-05-15,392,392.3,392,392.3,4400
2024-05-16,411.5,411.9,400,410.95,11200
2024-05-17,430,431.45,420,431.45,10400
2024-05-18,450,453,450,453,2800
2024-05-21,475.65,475.65,465,475.65,7200
2024-05-22,499.4,499.4,499.4,499.4,7200
2024-05-23,524.35,524.35,474.45,475.7,24000
2024-05-24,477.35,477.4,453,453.45,2800
2024-05-27,440,457,430.8,450.5,10800
2024-05-28,459.6,459.6,428,428,10800
2024-05-29,407.15,449.4,407,449.2,15600
2024-05-30,470,471,426.75,426.75,16800
2024-05-31,405.45,406,405.45,405.45,8400
2024-06-03,421.5,425.7,392.6,392.6,11200
2024-06-04,375,392,373,373,14000
2024-06-05,355,376,354.35,376,7600
2024-06-06,394,394.8,394,394.8,4800
2024-06-07,431.9,434.25,427,434.25,7600
2024-06-10,474,477.65,442.95,457,20000
2024-06-11,478,478,411.5,417,20400
2024-06-12,398,440,398,428,10000
2024-06-13,428,428,412.1,413.15,2400
2024-06-14,401,454,389,437,16800
2024-06-18,437,437,416,424.4,10000
2024-06-19,420.05,434.95,408.1,433,4800
2024-06-20,433,433,417,418.1,6000
2024-06-21,418.1,421,408,411,4400
2024-06-24,411,411,405,405,2400
2024-06-25,410,418,405,405,8400
2024-06-26,405,414,399,410.5,8800
2024-06-27,392,409,385,395,6800
2024-06-28,419,419,407.9,407.9,2000
2024-07-01,407.9,407.9,385.05,389.5,8800
2024-07-02,380.05,398.35,380.05,391.9,5600
2024-07-03,393,404.85,385.5,393,8000
2024-07-04,392,405,389,397.75,8400
2024-07-05,392,398,385,392.6,7600
