Date,Open,High,Low,Close,Volume
2025-03-28,181,181.4,171.95,175.6,424200
2025-04-01,171.25,175,166.85,170.1,37200
2025-04-02,165.9,170.1,161.6,170.1,25200
2025-04-03,170,170,161.6,169.95,3000
2025-04-04,161.45,161.45,161.45,161.45,2400
2025-04-07,153.4,161,153.4,155.55,19200
2025-04-08,147.8,163,147.8,158,12600
2025-04-09,158,163,150.1,162.95,4800
2025-04-11,154.8,169,154.8,168.5,7800
2025-04-15,168,175,168,173.15,13200
2025-04-16,168.85,181.3,168.85,181.3,8400
2025-04-17,177.7,181.4,172.25,175.95,76800
2025-04-21,171.6,171.6,167.15,167.15,1800
2025-04-22,171.35,171.7,167.5,170,3000
2025-04-28,147.05,172,147.05,170,16200
2025-04-29,170.05,177.9,170,177.9,4800
2025-04-30,172,172,172,172,28200
2025-05-02,170,170.1,170,170.1,2400
2025-05-05,170,170,170,170,2400
2025-05-06,170,170,170,170,1200
2025-05-07,170,170,170,170,3600
2025-05-08,170,170,170,170,1200
2025-05-09,170,170,170,170,2400
2025-05-12,170,170,170,170,2400
2025-05-13,170,170,170,170,1800
2025-05-14,170,174,170,170,6000
2025-05-15,170,170,170,170,1800
2025-05-16,170,170,170,170,600
2025-05-20,170,170,170,170,3600
2025-05-21,170,170,170,170,1200
2025-05-23,170,170,170,170,2400
2025-05-26,175,175,170,170,2400
2025-05-27,170,170,170,170,600
2025-05-28,170,170,170,170,600
2025-05-29,173,173,170,170,3000
2025-05-30,170,170,170,170,600
2025-06-02,170,170,170,170,1800
2025-06-03,170,172,170,171,1800
2025-06-04,171,171,170,170,3600
2025-06-05,172.5,172.5,170,170,1200
2025-06-06,170,170,170,170,600
2025-06-09,170,173,170,171,2400
2025-06-10,171,171,170,170,3600
2025-06-11,170,172,170,172,1200
2025-06-12,175,175,170,170,1200
2025-06-13,170,170,170,170,600
2025-06-16,170,170,170,170,2400
2025-06-17,170,170,170,170,1800
2025-06-19,170,170,170,170,2400
2025-06-20,170,170,170,170,1800
2025-06-24,170,170,170,170,4200
2025-06-25,170,170,170,170,1800
2025-06-26,170,170,170,170,1200
2025-06-30,170,170,170,170,1200
2025-07-01,170,170,170,170,1200
2025-07-02,170,170,170,170,1800
2025-07-03,170,170,170,170,600
2025-07-04,170,170,170,170,600
2025-07-07,170,170,170,170,4200
2025-07-08,170,170,170,170,3600
2025-07-09,170,170,170,170,600
2025-07-11,170,170,170,170,1200
2025-07-14,170,170,170,170,1200
2025-07-18,170,170,170,170,600
2025-07-21,170,170,170,170,3000
2025-07-22,170,170,170,170,600
2025-07-23,170,170,170,170,1200
2025-07-28,170,170,170,170,2400
2025-07-29,170,170,170,170,600
2025-07-30,170,170,170,170,600
2025-07-31,170,170,170,170,1200
2025-08-04,170,170,170,170,1800
2025-08-06,170,170,170,170,600
2025-08-08,170,170,170,170,600
2025-08-11,170,170,170,170,1800
2025-08-12,170,170,170,170,600
2025-08-13,170,170,170,170,1800
2025-08-20,170,170,170,170,600
2025-08-21,170,170,170,170,600
2025-08-26,170,170,170,170,600
2025-08-28,170,170,170,170,600
2025-08-29,170,170,170,170,600
2025-09-02,170,170,170,170,1800
2025-09-04,170,170,170,170,3600
2025-09-08,170,178.5,170,176.25,2400
2025-09-11,183.1,183.1,176.25,179.65,1200
2025-09-12,176,176,176,176,600
2025-09-17,176,176,170,171.1,5400
2025-09-24,170,170,170,170,1200
2025-09-25,170,170,170,170,600
2025-09-29,174.9,185.5,174.9,183.8,20400
2025-09-30,174.6,190,174.6,177,754800
2025-10-01,177,177,175,175,3000
2025-10-08,170,186,170,186,755400
2025-10-09,186,190,176.7,176.7,4800
2025-10-13,172,172,172,172,600
2025-10-14,172,172,170,170,1200
2025-10-15,170,178,170,178,1200
2025-10-16,184,184,184,184,600
2025-10-17,174.8,174.8,174.8,174.8,600
2025-10-27,170,170,170,170,2400
2025-10-28,170,170,170,170,600
2025-10-29,170,170,170,170,1200
2025-10-31,170,170,170,170,1200
2025-11-04,170,170,170,170,1200
2025-11-06,172,172,172,172,600
2025-11-07,175,175,175,175,600
2025-11-11,179,179,179,179,130200
2025-11-12,181,181,181,181,75000
2025-11-13,177,177,177,177,19200
2025-11-14,170.1,170.1,170.1,170.1,600
2025-11-17,170.1,170.1,170,170,1200
2025-11-18,170,170,170,170,2400
2025-11-19,170,175,170,173.35,7200
2025-11-20,175,178.75,170.05,177.25,9000
2025-11-21,174,174,174,174,6000
2025-11-24,173.6,173.6,173.6,173.6,6000
2025-11-25,173.6,174,170,170,15000
2025-11-26,172,172,170.05,170.05,11400
2025-11-27,172,173,170,173,20400
2025-11-28,173,180,173,173,3000
