Date,Open,High,Low,Close,Volume
2010-12-15,282.5,295,228.32,232.52,130264920
2010-12-16,232.5,239.7,225.18,230.75,38355352
2010-12-20,230.02,230.02,220.18,220.9,11848990
2010-12-21,222.48,225.43,216.63,217.8,8467354
2010-12-22,218.25,235.3,215.7,230.55,41555634
2010-12-23,231,232.7,223.52,224.52,10337906
2010-12-24,225.48,228.9,223.5,224.43,6640626
2010-12-27,225.98,227.2,219.02,220.13,3558576
2010-12-28,220.5,222.35,218,219.82,3489704
2010-12-29,219.82,224.35,219.25,220.3,3316230
2010-12-30,221,226.85,220.5,225.68,6806482
2010-12-31,224.9,228.68,224.07,224.85,3258746
2011-01-03,227,230.25,225.4,226.98,3555824
2011-01-04,228.35,229,226.38,227.52,2051522
2011-01-05,227,228,223.5,224.18,1875250
2011-01-06,224.75,226,222.6,224.18,1190724
2011-01-07,224.55,224.9,216.75,217.65,1414228
2011-01-10,218,219.48,214.1,215.9,1897264
2011-01-11,215,219.85,215,216.5,1488932
2011-01-12,217.55,218.8,214,217.57,1021128
2011-01-13,218.05,222.75,216,221.07,1726476
2011-01-14,220,220.98,216.9,217.82,1795546
2011-01-17,217,219,215.1,217.52,734036
2011-01-18,218.5,219.35,215.25,217.35,606854
2011-01-19,219,219,216,217.4,487486
2011-01-20,216.5,221.35,215.55,217.5,943082
2011-01-21,217.63,219.8,216,216.4,627948
2011-01-24,217.43,218,215.13,215.43,388676
2011-01-25,215.98,217.25,213.57,214.1,391404
2011-01-27,215.1,216.38,211.75,212.35,454114
2011-01-28,212,213,205.88,206.2,1004536
2011-01-31,205,206,197.1,204.48,2664122
2011-02-01,206.75,208.5,203.02,205.13,944304
2011-02-02,205.75,207.43,204.6,204.98,582510
2011-02-03,205.57,209.27,205,208.48,546028
2011-02-04,207.5,212.13,207.5,209.5,522888
2011-02-07,209.9,211.25,205.1,209.88,628502
2011-02-08,209.5,210.5,206.38,207.2,488014
2011-02-09,206.32,209.45,202.63,204,910308
2011-02-10,204,204,193,196.13,1226236
2011-02-11,197.5,203.3,188.5,202.52,927890
2011-02-14,204,207.95,200.05,206.8,449998
2011-02-15,207.5,208.5,204.5,204.98,733848
2011-02-16,205.02,211.2,204.5,210.5,570650
2011-02-17,209.5,209.5,206.9,207.25,243306
2011-02-18,208.95,210,203.52,204.15,394750
2011-02-21,204.5,207,203,206.15,222770
2011-02-22,205.5,206.48,201.68,202.95,326702
2011-02-23,200.6,205.23,200.6,204.07,243340
2011-02-24,203.95,204.5,197.52,201.13,1029138
2011-02-25,201.75,203.55,197.48,198.4,299606
2011-02-28,199,204.5,196.23,197.13,726884
2011-03-01,198,201.63,197.52,200.9,328804
2011-03-03,200.5,201.95,198.8,199.43,301152
2011-03-04,200,202,200,200.82,297122
2011-03-07,200,200.5,197.63,198.68,190850
2011-03-08,208.5,208.5,198.25,198.68,247680
2011-03-09,199.95,200.7,197.52,197.98,362108
2011-03-10,197.5,199.5,196,197.15,176018
2011-03-11,196,198.45,192.77,194.6,486722
2011-03-14,194.6,196.2,191.57,192.52,340698
2011-03-15,190.65,196.7,188.35,189.63,684892
2011-03-16,190.32,194.25,190.15,190.45,439468
2011-03-17,189.95,191.95,188.05,189.6,321660
2011-03-18,190.25,191.45,188.85,189.13,228076
2011-03-21,190.73,190.73,187.75,188.7,312106
2011-03-22,188.8,194.95,188.5,189.52,745164
2011-03-23,189,191.5,188.75,189.13,304580
2011-03-24,189.52,202.2,189.52,196.18,3154422
2011-03-25,196.8,204.95,196.55,204.05,2855134
2011-03-28,202,205.88,198.5,199.43,1086918
2011-03-29,198,202.75,195.3,198,580622
2011-03-30,200,201.35,197.5,197.88,405258
2011-03-31,199.4,200.63,196.02,197.38,699144
2011-04-01,199,199.85,197.07,197.45,306664
2011-04-04,197.77,202.5,197.77,200.38,699058
2011-04-05,201,203.48,199.35,200.1,708196
2011-04-06,200.98,203.95,199.55,201.68,1508582
2011-04-07,202.5,208.75,202.5,203.9,2648478
2011-04-08,203.93,205.45,200.07,200.57,626082
2011-04-11,200.5,202.82,199.57,201.13,497754
2011-04-13,200,201.3,198.38,198.7,800440
2011-04-15,199,200.5,196.65,197.1,446140
2011-04-18,197.1,198.9,194.02,194.4,416230
2011-04-19,194.48,195.13,193,193.43,320684
2011-04-20,195,195.45,193.57,194.32,647144
2011-04-21,194.55,196.98,193.02,193.43,1622462
2011-04-25,194,197.45,193,196.6,1079660
2011-04-26,197.25,197.25,193.5,193.73,380662
2011-04-27,195,196,192.77,193.27,353014
2011-04-28,193.5,196.65,192.8,193.38,918088
2011-04-29,193.5,194.2,190.2,190.93,356536
2011-05-02,191.05,192.23,188.52,189.68,438936
2011-05-03,189,192.25,187.75,188,357300
2011-05-04,188.25,188.68,185.55,186.35,338630
2011-05-05,186.38,188.52,185.75,186.5,326402
2011-05-06,187.45,187.75,185.32,186,223980
2011-05-09,187.48,188.38,183.55,183.95,356776
2011-05-10,185.25,189.7,184.5,186.95,480574
2011-05-11,186,190.9,186,187.6,467466
2011-05-12,187.4,188.3,183.05,186.13,512274
2011-05-13,185.63,187.5,185.63,186.35,168658
2011-05-16,186.2,187,184.65,185.57,157244
2011-05-17,185.75,186.5,183.55,184.88,251716
2011-05-18,185,185.7,183,183.2,205196
2011-05-19,183.63,185.25,180,180.43,354242
2011-05-20,180.52,184.43,178.5,179,536004
2011-05-23,179.9,184.4,176.2,177.43,834984
2011-05-24,177.63,179.3,176,176.45,211588
2011-05-25,176.55,178.8,174.1,174.63,359346
2011-05-26,176.5,177,174.07,174.38,184944
2011-05-27,173.75,176.35,169,174.1,285210
2011-05-30,175.07,177,174.55,175.1,290312
2011-05-31,176.38,185.95,175.27,182.8,1669032
2011-06-01,183.95,186,181.5,182.8,977764
2011-06-02,182,182.4,178,178.9,258068
2011-06-03,177.6,180.98,177.27,177.63,200350
2011-06-06,178,178.48,175.52,176.5,210734
2011-06-07,175.75,178.23,175.75,176.27,445974
2011-06-08,176.38,177.5,175.05,175.27,290982
2011-06-09,176.55,176.85,175.05,175.68,210190
2011-06-10,176,176.6,174.35,174.65,170458
2011-06-13,174.98,175.3,173.23,174.27,148942
2011-06-14,174.95,176.13,173.55,174.07,205222
2011-06-15,174.5,175,172.9,173.18,177800
2011-06-16,170.55,172.75,170.5,171.55,164858
2011-06-17,172,172.98,170.5,170.93,157310
2011-06-20,171.45,171.75,166,166.4,210860
2011-06-21,166.55,169.85,164.75,165.35,276542
2011-06-22,166.23,166.68,162.52,163.18,294602
2011-06-23,163.7,163.7,160.3,160.63,207202
2011-06-24,161.65,162.75,161.02,161.55,259254
2011-06-27,161.38,164.5,159.15,163.05,211152
2011-06-28,163.93,166.25,163.25,163.48,209770
2011-06-29,164.48,169.32,163.55,167.52,490066
2011-06-30,167.52,169,166.35,167.18,176674
2011-07-01,167.5,171.95,167.5,168.18,263934
2011-07-04,169.25,172,169,169.35,332110
2011-07-05,172.35,180,169.5,178.45,2546764
2011-07-06,178.6,179.5,173.95,174.43,708360
2011-07-07,175,179.23,174.07,178.05,938314
2011-07-08,178.05,179.23,173.75,174.38,790124
2011-07-11,179,179,171.5,173.7,173510
2011-07-12,172.75,177.25,172,175.38,439736
2011-07-13,176.02,176.75,174.1,175.27,185676
2011-07-14,175.5,177,173.5,175.18,236910
2011-07-15,175.48,185.65,174.57,182.48,1306412
2011-07-18,183.02,187.32,181.23,185.8,1312694
2011-07-19,185.5,186.1,183.5,184.1,300824
2011-07-20,185,185.05,179.52,180.4,221070
2011-07-21,179.48,181.85,176.68,177.32,330988
2011-07-22,177.65,181.6,177,178.4,309608
2011-07-25,178.02,181,150.63,178.2,237562
2011-07-26,180,180,171.63,175.65,167816
2011-07-27,176.02,180.38,174.5,176.4,483808
2011-07-28,175.05,178.7,175.05,175.7,280234
2011-07-29,176.5,176.95,173.23,173.48,170618
2011-08-01,174,175.85,169.07,169.9,198148
2011-08-02,169.9,170.85,167.75,168.95,224814
2011-08-03,168.18,173.5,166.5,171.98,290626
2011-08-04,172.75,173.75,167,167.77,278510
2011-08-05,165.5,168,160.55,166,414462
2011-08-08,162.5,164,155.7,157.32,434666
2011-08-09,152.5,155,150.35,152.02,533422
2011-08-10,154.02,160.6,152.55,158.6,677276
2011-08-11,154.93,159.98,154.5,155.18,332066
2011-08-12,156,157.65,155,155.95,208574
2011-08-16,156.02,158.3,153.1,153.77,126298
2011-08-17,153.77,156.18,152.75,155.15,210566
2011-08-18,156,156,152,153.18,678036
2011-08-19,152,152.98,147.82,150.93,268608
2011-08-22,150.98,154.93,150,152.8,124192
2011-08-23,153.73,155.32,151,151.88,259302
2011-08-24,152.05,154.23,150.5,151.27,135424
2011-08-25,151,152.5,150,150.38,162964
2011-08-26,150.5,152,147.82,148.3,163450
2011-08-29,147.05,152.35,147.05,150.02,143998
2011-08-30,151.7,153.5,150.3,151.68,316684
2011-09-02,153.75,153.75,150.75,151.65,122298
2011-09-05,151.5,153.05,150.15,150.57,154686
2011-09-06,150.52,151.45,149.52,150.75,97470
2011-09-07,151.63,153,150.65,151.05,227980
2011-09-08,152,156,151.55,152.13,948832
2011-09-09,152.9,152.9,149.02,149.4,208106
2011-09-12,149,150.75,148,149.02,127576
2011-09-13,149.75,151.02,148.7,149.43,192276
2011-09-14,147.9,149.95,147.88,148.35,153938
2011-09-15,145,149.95,145,147.75,163348
2011-09-16,148.5,157.25,148,154.93,1070906
2011-09-19,155,156,151.3,152.07,400800
2011-09-20,152.68,153.43,150,150.23,263002
2011-09-21,150.95,152.45,150,150.35,161700
2011-09-22,148.52,150.5,147.3,147.5,231934
2011-09-23,145.55,147.35,145,145.73,165294
2011-09-26,145.8,145.8,142.07,142.73,186994
2011-09-27,144.4,145.98,143.75,144.05,136424
2011-09-28,144.88,144.9,140.75,141.7,89092
2011-09-29,141.8,145,140.5,143.05,132270
2011-09-30,140.25,144.4,136.63,140.13,154406
2011-10-03,140,141,136,137.05,123002
2011-10-04,137.5,137.82,133,134.05,174134
2011-10-05,134.4,135,130.27,131.07,115492
2011-10-07,132,135.5,132,132.65,158270
2011-10-10,132.85,134.75,132.15,133.82,82028
2011-10-11,134,136.5,130.05,130.93,342678
2011-10-12,131.5,132.25,127.5,128.55,401068
2011-10-13,129.5,129.5,126.35,126.75,339960
2011-10-14,127.45,127.45,125.05,125.28,262432
2011-10-17,125.6,130.13,125.5,127.4,807908
2011-10-18,125.32,127.25,125.32,126.45,166744
2011-10-19,127,128.85,126.6,126.9,218888
2011-10-20,126.8,126.8,125.03,125.35,206788
2011-10-21,125.57,125.97,124.5,124.88,175436
2011-10-24,125.05,125.5,123.55,124.07,177798
2011-10-25,124.05,124.75,122.53,123.65,149892
2011-10-26,127.45,127.45,124.2,125.7,187880
2011-10-28,126,128.25,125.65,126.15,601146
2011-10-31,126.88,129.9,126.3,128.52,545510
2011-11-01,128.23,128.23,125.8,126.35,162406
2011-11-02,126,128.25,125,126.05,262306
2011-11-03,126.07,126.5,124.55,124.93,299824
2011-11-04,125.5,127.75,125.5,126.32,853884
2011-11-08,126.78,127.5,125.93,126.18,495220
2011-11-09,126.32,127.22,125.55,126,204638
2011-11-11,125.57,127,124.9,125.1,300542
2011-11-14,123,125.6,108,123.68,545212
2011-11-15,123.47,124.25,118.93,119.05,150700
2011-11-16,119,119.28,116.55,116.78,139372
2011-11-17,116.78,116.9,115.28,115.65,104180
2011-11-18,115,115.15,112.68,113.18,147456
2011-11-21,112.5,115.45,110.55,112.3,208560
2011-11-22,112.5,112.85,111,112.05,192890
2011-11-23,111.88,113.2,111.88,112.6,262180
2011-11-24,112.85,113.43,112,112.8,202608
2011-11-25,112.5,114.8,111.5,113,145762
2011-11-28,113.28,116,113,113.22,105056
2011-11-29,114.5,117.5,113.28,115.88,244164
2011-11-30,115.6,117.4,114.15,115.7,121190
2011-12-01,119.35,122,116.5,117.07,199598
2011-12-02,117.68,121.9,116.82,120.97,382538
2011-12-05,121,123.22,120,121.93,141548
2011-12-07,121.93,122.85,120.13,120.55,90080
2011-12-08,120.6,120.95,117.55,118.15,71664
2011-12-09,115.8,117,115.25,115.68,116860
2011-12-12,116,116.97,115,115.1,92834
2011-12-13,114.97,115.1,113.28,114.13,59670
2011-12-14,114.13,114.9,112.78,113.1,71780
2011-12-15,113.1,113.65,112,113.03,87258
2011-12-16,113,115.35,111,111.72,94856
2011-12-19,111,111.5,109.5,110.5,115888
2011-12-20,111.65,113.47,111,111.53,139942
